Date,Actual_Price,Predicted_Price,Percentage_Error
2024-01-23,2242.6,2415.3267,7.702071709455548
2024-01-24,2235.02,2338.4812,4.629095094087526
2024-01-25,2218.64,2279.8665,2.759639016610407
2024-01-26,2267.68,2242.25,1.121410428279115
2024-01-27,2267.94,2242.8948,1.1043160140645278
2024-01-28,2256.9,2257.5837,0.030295548512335905
2024-01-29,2317.6,2269.5022,2.0753280434231494
2024-01-30,2343.01,2298.365,1.905455365774163
2024-01-31,2283.14,2331.7905,2.130860452874118
2024-02-01,2304.28,2333.8325,1.2825055779353984
2024-02-02,2309.06,2331.8276,0.9860132139810163
2024-02-03,2296.49,2329.6538,1.4441085566995815
2024-02-04,2289.79,2323.0796,1.4538272000379964
2024-02-05,2301.83,2314.584,0.5540802046632494
2024-02-06,2372.64,2312.3235,2.5421687939120505
2024-02-07,2425.1,2337.7634,3.6013596249896875
2024-02-08,2419.55,2382.2822,1.5402770530677266
2024-02-09,2486.56,2415.89,2.8420833368941407
2024-02-10,2500.24,2458.224,1.6804738307622382
2024-02-11,2507.21,2492.633,0.5814009739660833
2024-02-12,2659.9900000000002,2514.1746,5.481804046373303
2024-02-13,2639.99,2578.8318,2.316607748159076
2024-02-14,2774.81,2625.8208,5.369347783046405
2024-02-15,2822.59,2700.2195,4.335398254019363
2024-02-16,2801.8,2772.9116,1.031064990586415
2024-02-17,2785.93,2809.525,0.8469309115358306
2024-02-18,2881.2,2813.8474,2.337657500021686
2024-02-19,2944.8,2840.7185,3.534416399776731
2024-02-20,3014.81,2887.351,4.227759818404807
2024-02-21,2967.9,2949.4824,0.620559254860342
2024-02-22,2971.4,2974.5503,0.10602049433768289
2024-02-23,2922.24,2979.7708,1.9687209795610634
2024-02-24,2992.62,2956.7039,1.2001571391665127
2024-02-25,3112.59,2960.1812,4.896528217858765
2024-02-26,3175.94,3016.5295,5.01931582411428
2024-02-27,3242.36,3093.428,4.593321577011039
2024-02-28,3383.1,3174.4707,6.166808456001889
2024-02-29,3340.09,3281.6887,1.7484941812009598
2024-03-01,3433.43,3335.5781,2.849974369653665
2024-03-02,3421.4,3388.7822,0.9533458069065321
2024-03-03,3487.8100000000004,3412.2473,2.16647941105953
2024-03-04,3627.76,3442.9016,5.09566202482731
2024-03-05,3553.65,3519.2178,0.9689256556638974
2024-03-06,3818.59,3545.7117,7.146049460091948
2024-03-07,3868.76,3658.4512,5.436078436630864
2024-03-08,3883.36,3768.8384,2.949034369560126
2024-03-09,3905.21,3838.231,1.7151201335843664
2024-03-10,3878.47,3873.55,0.12685288714041362
2024-03-11,4064.8,3869.2678,4.810376346545345
2024-03-12,3979.96,3934.4304,1.1439707956392786
2024-03-13,4004.79,3951.4958,1.3307601744567121
2024-03-14,3881.7,3959.589,2.0065721546777233
2024-03-15,3742.19,3906.597,4.393334486707649
2024-03-16,3523.09,3800.089,7.862391006988889
2024-03-17,3644.71,3632.576,0.3329228461420809
2024-03-18,3520.46,3570.0923,1.4098238626841368
2024-03-19,3158.64,3513.2354,11.226203415473119
2024-03-20,3516.53,3340.9756,4.992262658430334
2024-03-21,3492.85,3353.1755,3.9988680559034857
2024-03-22,3336.35,3405.6953,2.07847835209136
2024-03-23,3329.53,3391.66,1.8660264995171931
2024-03-24,3454.98,3363.7485,2.6405786674235454
2024-03-25,3590.42,3392.7324,5.505973622166768
2024-03-26,3587.33,3481.9734,2.9369088243380155
2024-03-27,3501.19,3551.9607,1.4500982054494314
2024-03-28,3560.4900000000002,3551.2954,0.258239451416806
2024-03-29,3509.74,3552.7136,1.2244104419949975
2024-03-30,3505.64,3529.2954,0.6747814994195105
2024-03-31,3645.29,3505.161,3.844114222136646
2024-04-01,3503.8,3547.2654,1.2405211729943153
2024-04-02,3278.96,3531.9355,7.715115368135017
2024-04-03,3310.83,3415.9546,3.1751732901946057
2024-04-04,3327.4,3330.8347,0.10322524484206615
2024-04-05,3317.85,3293.7305,0.7269626791446241
2024-04-06,3351.59,3283.8171,2.022110739324474
2024-04-07,3454.2,3302.4805,4.3923203998031335
2024-04-08,3694.61,3366.0657,8.892530637113934
2024-04-09,3506.39,3518.6702,0.3502224799758477
2024-04-10,3545.64,3557.1182,0.32372615557417356
2024-04-11,3502.5199999999995,3563.2095,1.7327373621349909
2024-04-12,3237.43,3534.7996,9.185358773683916
2024-04-13,3007.0100000000007,3397.3018,12.979396736708532
2024-04-14,3155.11,3192.9106,1.1980769143151861
2024-04-15,3101.99,3106.0688,0.13149132190143162
2024-04-16,3084.22,3067.0798,0.5557374641116652
2024-04-17,2985.41,3056.2039,2.3713278049539306
2024-04-18,3064.4,3023.705,1.3279898797480776
2024-04-19,3056.46,3030.598,0.8461455281395809
2024-04-20,3155.79,3044.6084,3.5230988615370467
2024-04-21,3147.6699999999996,3095.7852,1.6483571578341956
2024-04-22,3200.2,3135.4707,2.0226641108368173
2024-04-23,3219.46,3177.104,1.3156242380321557
2024-04-24,3140.8,3209.1917,2.177523254923103
2024-04-25,3155.8,3192.9253,1.176414632383225
2024-04-26,3131.3,3172.9385,1.3297504730463328
2024-04-27,3255.5599999999995,3147.775,3.310800527597387
2024-04-28,3263.45,3179.3127,2.578168988627827
2024-04-29,3216.73,3218.4612,0.053818058731226484
2024-04-30,3014.05,3226.8618,7.060659790190933
2024-05-01,2972.46,3142.6484,5.725508080848858
2024-05-02,2986.19,3047.5715,2.05551331975276
2024-05-03,3102.61,2989.4692,3.6466317622501743
2024-05-04,3117.23,3010.345,3.428846421241776
2024-05-05,3136.41,3055.5083,2.5794363370461726
2024-05-06,3062.6,3101.2476,1.2619198913913046
2024-05-07,3005.69,3101.4404,3.185638894480134
2024-05-08,2974.2100000000005,3065.5002,3.0693947011349065
2024-05-09,3036.23,3019.0525,0.5657512693578886
2024-05-10,2909.99,3010.1516,3.441991598875777
2024-05-11,2912.45,2967.1814,1.879221840181812
